Movie_ID,Title,Genre,Release_Date,Budget,Box_Office,IMDB_Rating,RottenTomatoes,Duration_Minutes,Language,Country,Director,Release_Year,ROI,Profit,Profit_Status
1,Last Galaxy,Comedy,2016-07-25,176644825.0,176819669.0,4.7,53,149.0,Spanish,India,Emily Stone,2016,0.09898053905626727,174844.0,Average
2,Love In Galaxy,SciFi,2021-08-10,179452024.0,656069848.0,7.0,57,135.0,English,Usa,Alan Smith,2021,265.59623757712535,476617824.0,BlockBuster
3,Dark Secrets,Comedy,2015-06-27,30962105.0,65497460.0,6.9,70,158.0,English,Usa,Emily Stone,2015,111.54072050333788,34535355.0,BlockBuster
4,Rise Of Galaxy,Action,2019-04-06,66175976.0,263300000.0,7.1,68,174.0,Spanish,Australia,Sophie Laurent,2019,297.87852921126546,197124024.0,BlockBuster
5,Shadow Of Journey,SciFi,2018-01-10,148400000.0,561043118.0,5.6,67,135.0,English,India,Raj Mehra,2018,278.06140026954176,412643118.0,BlockBuster
6,Return Of Journey,SciFi,2022-03-18,240248142.0,896300000.0,7.0,67,135.0,Spanish,France,James Holloway,2022,273.0726042409934,656051858.0,BlockBuster
7,Shadow Of Kingdom,SciFi,2016-08-01,63873467.0,318598681.0,7.0,67,135.0,Spanish,France,Raj Mehra,2016,398.79659890702345,254725214.0,BlockBuster
8,The Destiny,Romance,2021-01-08,72500000.0,353008132.0,6.0,69,137.0,Spanish,India,Raj Mehra,2021,386.90776827586205,280508132.0,BlockBuster
9,Last Kingdom,Horror,2017-03-25,250000000.0,244694233.0,7.0,98,134.0,French,Usa,John Carter,2017,-2.1223068,-5305767.0,Flop
10,Last Galaxy,Action,2017-09-13,102436907.0,456279434.0,7.1,89,130.0,Spanish,India,James Holloway,2017,345.424844777869,353842527.0,BlockBuster
11,Love In Galaxy,Horror,2023-03-09,146600000.0,649049228.0,7.0,68,134.0,English,India,Sophie Laurent,2023,342.7348076398363,502449228.0,BlockBuster
12,Legend Of Galaxy,Horror,2017-06-21,22186821.0,44848107.0,5.6,68,94.0,Hindi,Australia,Alan Smith,2017,102.1384992469178,22661286.0,BlockBuster
13,Battle Of Galaxy,SciFi,2019-07-26,62508755.0,182935165.0,7.0,67,144.0,English,Usa,Alan Smith,2019,192.65526884993952,120426410.0,BlockBuster
14,Rise Of Galaxy,Comedy,2017-02-18,200478346.0,406341886.0,6.9,55,141.0,English,Australia,Raj Mehra,2017,102.68617240088362,205863540.0,BlockBuster
15,Rise Of Galaxy,Action,2019-07-23,229419447.0,129945550.0,8.8,68,130.0,Hindi,France,James Holloway,2019,-43.358964682710614,-99473897.0,Flop
16,Legend Of Journey,Action,2017-02-16,118550206.0,430889901.0,7.1,68,92.0,Spanish,France,Raj Mehra,2017,263.4661765159649,312339695.0,BlockBuster
17,The Kingdom,Action,2017-01-31,233900252.0,675987541.0,7.1,55,164.0,French,Australia,Raj Mehra,2017,189.00676045445218,442087289.0,BlockBuster
18,Last Galaxy,Romance,2023-01-12,156726947.0,447100000.0,7.1,69,137.0,English,Usa,Alan Smith,2023,185.27321469485398,290373053.0,BlockBuster
19,Rise Of Destiny,Horror,2017-05-23,171741166.0,857500000.0,8.9,68,134.0,Spanish,Australia,James Holloway,2017,399.29787946123525,685758834.0,BlockBuster
20,Legend Of Empire,Romance,2021-03-21,169195998.0,833686191.0,5.8,87,137.0,Spanish,India,Emily Stone,2021,392.7339894883329,664490193.0,BlockBuster
21,Last Kingdom,SciFi,2017-10-25,97041226.0,137428610.0,8.6,67,135.0,English,Australia,Alan Smith,2017,41.61878993573308,40387384.0,Average
22,Legend Of Empire,Action,2015-11-05,153090585.0,562700000.0,7.4,67,130.0,Hindi,Usa,James Holloway,2015,267.5601605415513,409609415.0,BlockBuster
23,Rise Of Dreams,Horror,2019-07-23,61391990.0,219126435.0,9.4,68,88.0,Hindi,France,Emily Stone,2019,256.93000829587055,157734445.0,BlockBuster
24,Return Of Night,Action,2022-12-11,236945420.0,902231037.0,8.8,68,130.0,English,India,John Carter,2022,280.77589218647904,665285617.0,BlockBuster
25,Dark Night,Action,2018-02-17,182176309.0,249400000.0,9.2,68,130.0,English,Usa,Raj Mehra,2018,36.900347454069895,67223691.0,Average
26,Dark Revenge,Horror,2020-09-25,121652320.0,250067536.0,7.0,67,151.0,Hindi,France,John Carter,2020,105.55920018623566,128415216.0,BlockBuster
27,Dark Destiny,Thriller,2018-05-15,183304945.0,851200000.0,7.0,75,134.0,French,Australia,Emily Stone,2018,364.36281356184907,667895055.0,BlockBuster
28,Last Revenge,Horror,2015-01-02,247300000.0,317374092.0,7.0,68,134.0,French,Australia,Sophie Laurent,2015,28.33566194904974,70074092.0,Average
29,Shadow Of Destiny,Comedy,2020-10-12,142217224.0,373937128.0,7.9,91,103.0,English,India,Alan Smith,2020,162.93378360415753,231719904.0,BlockBuster
30,Rise Of Journey,SciFi,2022-01-23,169087607.0,731104313.0,6.5,81,135.0,English,India,Emily Stone,2022,332.3819622096846,562016706.0,BlockBuster
31,Legend Of Galaxy,Action,2020-02-13,144038225.0,373100000.0,7.1,68,130.0,English,Australia,Alan Smith,2020,159.02846275702163,229061775.0,BlockBuster
32,Return Of Night,Horror,2020-06-07,125800000.0,209652799.0,7.0,68,134.0,Spanish,Usa,Sophie Laurent,2020,66.65564308426073,83852799.0,Hit
33,Shadow Of Galaxy,Action,2019-08-27,45500000.0,70082757.0,6.6,68,134.0,Spanish,France,Alan Smith,2019,54.02803736263736,24582757.0,Hit
34,Last Revenge,SciFi,2021-01-13,6582716.0,31217460.0,7.0,67,135.0,English,France,Sophie Laurent,2021,374.2337357406882,24634744.0,BlockBuster
35,Love In Secrets,Horror,2022-08-06,172035831.0,499515726.0,7.0,51,134.0,Hindi,India,Alan Smith,2022,190.35563294951038,327479895.0,BlockBuster
36,Love In Night,SciFi,2017-10-30,92737003.0,187213053.0,8.2,62,168.0,English,Usa,Sophie Laurent,2017,101.87524606547831,94476050.0,BlockBuster
37,Shadow Of Galaxy,Action,2020-04-23,58515475.0,250243173.0,7.1,50,130.0,English,Canada,John Carter,2020,327.6529806858784,191727698.0,BlockBuster
38,Love In Revenge,Thriller,2017-03-23,88740385.0,274304097.0,7.0,94,157.0,Hindi,Canada,Alan Smith,2017,209.1085270815537,185563712.0,BlockBuster
39,Legend Of Dreams,Action,2019-09-17,182575782.0,395745594.0,7.1,68,175.0,French,India,Emily Stone,2019,116.75689385791594,213169812.0,BlockBuster
40,Last Secrets,Horror,2020-03-06,145055325.0,702700000.0,6.1,93,134.0,English,France,Raj Mehra,2020,384.4358523204853,557644675.0,BlockBuster
41,Dark Empire,SciFi,2018-08-24,168834669.0,592077541.0,7.0,67,135.0,Spanish,Usa,Raj Mehra,2018,250.684811660335,423242872.0,BlockBuster
42,Love In Journey,Horror,2017-11-09,56286319.0,49827932.0,8.5,58,136.0,Hindi,Australia,Raj Mehra,2017,-11.474168349861358,-6458387.0,Flop
43,Legend Of Dreams,SciFi,2021-03-04,104100000.0,273638884.0,7.0,54,177.0,Hindi,Usa,Emily Stone,2021,162.8615600384246,169538884.0,BlockBuster
44,Shadow Of Galaxy,Comedy,2020-06-06,148800000.0,711322122.0,6.9,70,135.0,English,Australia,Raj Mehra,2020,378.03906048387097,562522122.0,BlockBuster
45,The Kingdom,Comedy,2022-10-27,38979354.0,67605829.0,6.9,70,135.0,Hindi,India,John Carter,2022,73.44009600569574,28626475.0,Hit
46,Battle Of Destiny,Action,2019-06-30,72774150.0,344570040.0,7.1,59,116.0,Spanish,France,Raj Mehra,2019,373.478618438003,271795890.0,BlockBuster
47,Return Of Kingdom,SciFi,2020-01-20,165000000.0,669712649.0,7.0,43,111.0,Hindi,Australia,John Carter,2020,305.88645393939396,504712649.0,BlockBuster
48,Legend Of Destiny,Action,2015-11-01,47159692.0,74483701.0,6.0,68,130.0,English,Australia,Sophie Laurent,2015,57.93932878102767,27324009.0,Hit
49,Return Of Revenge,Action,2021-02-08,76015841.0,307500000.0,8.6,43,130.0,French,Usa,Alan Smith,2021,304.5209471536334,231484159.0,BlockBuster
50,Love In Night,Horror,2021-01-20,189865591.0,354746836.0,7.0,68,134.0,English,Usa,Sophie Laurent,2021,86.8410353511606,164881245.0,Hit
51,The Night,Horror,2015-06-14,186005589.0,792721179.0,9.1,68,134.0,English,France,James Holloway,2015,326.1813761950992,606715590.0,BlockBuster
