Movie_ID,Title,Genre,Release_Date,Budget,Box_Office,IMDB_Rating,RottenTomatoes,Duration_Minutes,Language,Country,Director
1,Last Galaxy,Comedy,2016-07-25,$176644825,176819669,4.7,53%,149.0,Spanish,India,Emily Stone
2,Love in Galaxy,SciFi,August 10 2021,$179452024,"$656,069,848",NaN,57%,,English,USA,Alan Smith
3,Dark Secrets,comedy,2015/06/27,$30962105,65497460,NaN,,158.0,English,USA,Emily Stone
4,Rise of Galaxy,action,April 06 2019,66175976,263.3M,NaN,,174.0,Spanish,Australia,Sophie Laurent
5,Shadow of Journey,Sci-Fi,10/01/2018,148.4M,$561043118,5.6,,,English,India,Raj Mehra
6,Return of Journey,Sci-Fi,2022/03/18,"$240,248,142",896.3M,not rated,,,Spanish,France,James Holloway
7,Shadow of Kingdom,SciFi,2016-01-08,$63873467,"$318,598,681",not rated,67%,,Spanish,France,Raj Mehra
8,The Destiny,Romance,January 08 2021,72.5M,$353008132,6.0,69%,,Spanish,India,Raj Mehra
9,Last Kingdom,HORROR,25/03/2017,250.0M,"$244,694,233",not rated,98%,,French,USA,John Carter
10,Last Galaxy,Action,2017-09-13,$102436907,456279434,not rated,89%,,Spanish,India,James Holloway
11,Love in Galaxy,Horror,09/03/2023,146.6M,649049228,not rated,,,English,India,Sophie Laurent
12,Legend of Galaxy,HORROR,2017-06-21,$22186821,$44848107,5.6,,94.0,Hindi,Australia,Alan Smith
13,Battle of Galaxy,SciFi,26/07/2019,$62508755,$182935165,NaN,,144.0,English,USA,Alan Smith
14,Rise of Galaxy,Comedy,2017/02/18,"$200,478,346",406341886,NaN,55%,141.0,English,Australia,Raj Mehra
15,Rise of Galaxy,ACTION,2019/07/23,229419447,"$129,945,550",8.8,,,Hindi,France,James Holloway
16,Legend of Journey,ACTION,February 16 2017,"$118,550,206",$430889901,not rated,,92.0,Spanish,France,Raj Mehra
17,The Kingdom,action,2017-01-31,$233900252,"$675,987,541",not rated,55%,164.0,French,Australia,Raj Mehra
18,Last Galaxy,Romance,January 12 2023,"$156,726,947",447.1M,not rated,,,English,USA,Alan Smith
19,Rise of Destiny,Horror,May 23 2017,"$171,741,166",857.5M,8.9,,,Spanish,Australia,James Holloway
20,Legend of Empire,Romance,March 21 2021,$169195998,"$833,686,191",5.8,87%,,Spanish,India,Emily Stone
21,Last Kingdom,SciFi,2017-10-25,$97041226,137428610,8.6,,,english,Australia,Alan Smith
22,Legend of Empire,action,05/11/2015,$153090585,562.7M,7.4,67%,,Hindi,USA,James Holloway
23,Rise of Dreams,Horror,23/07/2019,"$61,391,990","$219,126,435",9.4,,88.0,Hindi,France,Emily Stone
24,Return of Night,ACTION,2022-11-12,236945420,$902231037,8.8,,,english,India,John Carter
25,Dark Night,action,February 17 2018,182176309,249.4M,9.2,,,English,USA,Raj Mehra
26,Dark Revenge,HORROR,2020-09-25,121652320,"$250,067,536",not rated,67%,151.0,Hindi,France,John Carter
27,Dark Destiny,Thriller,May 15 2018,183304945,851.2M,NaN,75%,,French,Australia,Emily Stone
28,Last Revenge,Horror,January 02 2015,247.3M,"$317,374,092",not rated,,,French,Australia,Sophie Laurent
29,Shadow of Destiny,comedy,October 12 2020,$142217224,"$373,937,128",7.9,91%,103.0,English,India,Alan Smith
30,Rise of Journey,Sci-Fi,23/01/2022,169087607,731104313,6.5,81%,,english,India,Emily Stone
31,Legend of Galaxy,action,13/02/2020,144038225,373.1M,NaN,,,english,Australia,Alan Smith
32,Return of Night,Horror,07/06/2020,125.8M,209652799,NaN,,,Spanish,USA,Sophie Laurent
33,Shadow of Galaxy,action,2019/08/27,45.5M,70082757,6.6,,134.0,Spanish,France,Alan Smith
34,Last Revenge,Sci-Fi,13/01/2021,6582716,"$31,217,460",NaN,,,english,France,Sophie Laurent
35,Love in Secrets,HORROR,2022-06-08,$172035831,499515726,NaN,51%,,Hindi,India,Alan Smith
36,Love in Night,Sci-Fi,2017-10-30,92737003,$187213053,8.2,62%,168.0,English,USA,Sophie Laurent
37,Shadow of Galaxy,ACTION,2020-04-23,"$58,515,475",250243173,NaN,50%,,English,Canada,John Carter
38,Love in Revenge,Thriller,2017-03-23,"$88,740,385",$274304097,NaN,94%,157.0,Hindi,Canada,Alan Smith
39,Legend of Dreams,Action,2019/09/17,$182575782,395745594,not rated,,175.0,French,India,Emily Stone
40,Last Secrets,Horror,2020/06/03,145055325,702.7M,6.1,93%,,english,France,Raj Mehra
41,Dark Empire,SciFi,24/08/2018,168834669,"$592,077,541",NaN,,,Spanish,USA,Raj Mehra
42,Love in Journey,Horror,2017/09/11,56286319,49827932,8.5,58%,136.0,Hindi,Australia,Raj Mehra
43,Legend of Dreams,Sci-Fi,March 04 2021,104.1M,273638884,NaN,54%,177.0,Hindi,USA,Emily Stone
44,Shadow of Galaxy,Comedy,June 06 2020,148.8M,$711322122,NaN,,,English,Australia,Raj Mehra
45,The Kingdom,comedy,27/10/2022,38979354,$67605829,not rated,,,Hindi,India,John Carter
46,Battle of Destiny,action,2019/06/30,$72774150,$344570040,not rated,59%,116.0,Spanish,France,Raj Mehra
47,Return of Kingdom,Sci-Fi,2020/01/20,165.0M,669712649,not rated,43%,111.0,Hindi,Australia,John Carter
48,Legend of Destiny,ACTION,2015/01/11,47159692,74483701,6.0,,,English,Australia,Sophie Laurent
49,Return of Revenge,action,08/02/2021,"$76,015,841",307.5M,8.6,43%,,French,USA,Alan Smith
50,Love in Night,Horror,2021/01/20,189865591,$354746836,NaN,,,English,USA,Sophie Laurent
51,The Night,HORROR,14/06/2015,186005589,792721179,9.1,,,English,France,James Holloway
52,Rise of Warrior,Drama,2019/08/14,114.6M,229217350,not rated,,,Hindi,UK,John Carter
53,Legend of Empire,Romance,2021/01/31,212379255,$492462416,NaN,,,English,India,James Holloway
54,Last Journey,Thriller,2020-06-08,$152430025,"$166,081,586",NaN,75%,,English,India,John Carter
55,Shadow of Journey,Thriller,April 10 2018,128868974,613644844,9.4,69%,134.0,Spanish,Canada,Emily Stone
56,Rise of Night,Sci-Fi,October 24 2018,$241042344,268.6M,not rated,,,Spanish,France,James Holloway
57,Legend of Revenge,SciFi,11/08/2018,"$94,238,670",281173170,NaN,,,French,France,Emily Stone
58,Shadow of Journey,Action,June 01 2016,$217706552,912922813,NaN,40%,137.0,English,France,James Holloway
59,Love in Destiny,Drama,2022/07/25,95.9M,316857578,8.9,79%,,english,Australia,John Carter
60,Rise of Journey,ACTION,October 13 2022,$121493328,$595623443,6.1,,,english,India,Raj Mehra
61,Shadow of Warrior,ACTION,2015/11/20,"$115,609,298",352224105,9.1,,,French,UK,Emily Stone
62,Battle of Night,Romance,16/02/2021,$7522603,34190895,not rated,,,French,UK,Sophie Laurent
63,Rise of Galaxy,Sci-Fi,May 31 2021,108.3M,469.9M,not rated,,86.0,Spanish,Australia,Alan Smith
64,Last Galaxy,HORROR,14/12/2018,"$228,563,489",1044.2M,not rated,89%,165.0,English,UK,Alan Smith
65,Shadow of Destiny,comedy,2018/08/31,"$13,956,222","$43,377,084",not rated,,,english,UK,Alan Smith
66,Dark Destiny,SciFi,05/11/2015,"$221,490,106",404914151,not rated,63%,135.0,Hindi,Canada,John Carter
67,Last Secrets,Sci-Fi,February 28 2022,$127080695,"$274,320,894",not rated,,163.0,English,Australia,Alan Smith
68,Love in Destiny,ACTION,2015-07-05,249.1M,910465882,5.1,96%,,Hindi,Australia,Emily Stone
69,Love in Secrets,Thriller,24/02/2023,191960996,$913136072,not rated,,,english,France,Alan Smith
70,Rise of Dreams,Horror,March 26 2022,$68381003,297424941,5.9,,96.0,Spanish,USA,John Carter
71,Shadow of Secrets,Comedy,09/10/2015,"$216,203,565","$432,578,191",6.1,90%,120.0,english,Canada,James Holloway
72,The Warrior,Action,07/01/2019,219.3M,$281916002,5.4,,152.0,English,France,Alan Smith
73,Rise of Journey,Horror,2017-06-26,213.8M,455318530,7.7,,,English,France,Emily Stone
74,Rise of Dreams,HORROR,2016-08-30,"$249,195,956",622.0M,not rated,,,French,Canada,Raj Mehra
75,Rise of Kingdom,Thriller,2017/05/30,120480752,"$114,011,306",NaN,,178.0,Hindi,France,James Holloway
76,Shadow of Journey,action,2016-01-09,$183538533,302288713,not rated,63%,156.0,Spanish,Canada,Raj Mehra
77,Love in Dreams,Romance,2019-09-29,93.5M,328.6M,not rated,72%,,english,USA,James Holloway
78,Rise of Night,HORROR,2017/07/15,$231928198,696.5M,NaN,,,English,India,Sophie Laurent
79,Rise of Warrior,Thriller,2022-02-06,$157020661,"$542,985,431",NaN,61%,,Hindi,Canada,Raj Mehra
80,Shadow of Warrior,HORROR,2015-07-23,27.8M,124430634,NaN,,,english,Canada,John Carter
81,Last Secrets,SciFi,November 28 2020,$97656632,"$237,755,944",not rated,43%,,english,India,James Holloway
82,The Journey,Thriller,30/10/2019,"$82,697,872",163456528,7.2,,,English,France,John Carter
83,Dark Secrets,Sci-Fi,2021/06/06,128414341,596.5M,5.1,60%,,Hindi,USA,Alan Smith
84,Love in Secrets,Sci-Fi,2020-11-16,231689544,226.2M,8.2,61%,94.0,Spanish,Canada,Sophie Laurent
85,Dark Warrior,Comedy,26/02/2016,248.2M,"$990,996,560",5.4,88%,,French,Canada,Raj Mehra
86,Dark Dreams,ACTION,2019-12-07,125502087,447427572,NaN,77%,130.0,Hindi,France,Alan Smith
87,Last Destiny,Romance,2016/01/05,15095119,$11411988,not rated,81%,,Spanish,India,John Carter
88,Dark Destiny,Horror,31/03/2022,$125936377,"$121,624,119",NaN,73%,,Hindi,France,Alan Smith
89,The Dreams,action,2018-09-12,212893808,430.6M,not rated,98%,127.0,Spanish,Australia,Sophie Laurent
90,Love in Warrior,HORROR,2022-12-13,98.9M,187526791,NaN,92%,170.0,French,Canada,James Holloway
91,Shadow of Galaxy,Drama,14/06/2020,"$9,893,723","$21,090,345",NaN,94%,149.0,Hindi,Canada,Sophie Laurent
92,Shadow of Warrior,Thriller,02/01/2022,165322121,$362921636,not rated,86%,,French,India,Raj Mehra
93,Battle of Galaxy,Drama,2022/08/10,69201304,131.0M,not rated,,105.0,Spanish,India,James Holloway
94,Dark Kingdom,action,2022-12-23,19.0M,$64344193,NaN,68%,140.0,english,France,James Holloway
95,Love in Kingdom,Drama,2017/08/23,$12159225,28.8M,NaN,,103.0,English,UK,Alan Smith
96,Battle of Journey,HORROR,2015-01-22,$191850400,813.4M,5.6,,,english,UK,John Carter
97,Battle of Destiny,action,2020-08-09,"$17,817,644","$28,026,757",6.0,,,english,Australia,Emily Stone
98,Dark Destiny,Horror,2021-02-06,27981820,79907137,NaN,,180.0,Hindi,USA,James Holloway
99,Rise of Secrets,Thriller,23/09/2018,$69726746,264.8M,not rated,,,english,India,John Carter
100,Battle of Empire,comedy,2017-04-05,"$197,211,881",$787438799,NaN,,,Hindi,USA,Emily Stone
101,The Dreams,comedy,May 24 2016,56298937,100634295,NaN,61%,,Hindi,Canada,James Holloway
102,Love in Destiny,Sci-Fi,03/10/2021,220.1M,191.8M,NaN,,,Spanish,Australia,Alan Smith
103,Dark Journey,Action,February 25 2023,49733364,179.2M,7.7,,131.0,English,India,Raj Mehra
104,The Warrior,action,August 24 2017,187.0M,751066765,9.2,78%,,Hindi,UK,Alan Smith
105,Shadow of Kingdom,Drama,June 19 2019,209.8M,"$177,520,465",9.3,87%,,Spanish,USA,James Holloway
106,Battle of Galaxy,HORROR,2018/03/15,"$213,027,944",$356034448,5.2,68%,,English,Australia,James Holloway
107,Rise of Kingdom,Horror,April 04 2018,"$184,271,878","$380,229,140",not rated,54%,110.0,english,France,John Carter
108,Dark Journey,Horror,2016-06-15,$101877423,304.9M,not rated,,,French,Canada,John Carter
109,Rise of Journey,SciFi,August 17 2022,"$38,642,151","$188,407,875",8.3,67%,100.0,Hindi,India,Sophie Laurent
110,Return of Dreams,Horror,2018-03-09,91.6M,"$431,162,866",not rated,57%,,Spanish,Canada,John Carter
111,Shadow of Warrior,Romance,January 01 2022,$139908451,$473512236,not rated,,168.0,Spanish,France,Raj Mehra
112,Legend of Night,Romance,2018/05/22,"$176,527,893",112322322,6.0,84%,,French,France,Alan Smith
113,Shadow of Dreams,Thriller,July 31 2018,59767010,"$121,378,821",not rated,75%,125.0,French,USA,James Holloway
114,Rise of Empire,comedy,2019/04/23,"$125,687,510","$203,065,136",not rated,,109.0,French,Canada,Alan Smith
115,Battle of Empire,action,2019/05/30,"$138,884,788","$618,848,461",7.4,,,Hindi,Canada,John Carter
116,Shadow of Night,Thriller,2019/02/07,232.4M,$228631371,not rated,75%,,English,France,Raj Mehra
117,Last Secrets,Romance,2021-11-07,"$125,891,082",$495988015,NaN,,103.0,Spanish,Canada,Alan Smith
